id,target_word,context_string
d000.s000.t000,refer,oct. editorial ill homeless research six colleague report sept. issue journal american medical association
d000.s000.t001,research,oct. editorial ill homeless refer six colleague report sept. issue journal american medical association
d000.s000.t002,report,oct. editorial ill homeless refer research six colleague sept. issue journal american medical association
d000.s001.t000,comment,imply discover principal cause homelessness find large number mentally ill substance-abusing people homeless population
d000.s001.t001,imply,comment discover principal cause homelessness find large number mentally ill substance-abusing people homeless population
d000.s001.t002,discover,comment imply principal cause homelessness find large number mentally ill substance-abusing people homeless population
d000.s001.t003,cause,comment imply discover principal homelessness find large number mentally ill substance-abusing people homeless population
d000.s001.t004,find,comment imply discover principal cause homelessness large number mentally ill substance-abusing people homeless population
d000.s002.t000,make,statement
d000.s002.t001,statement,make
d000.s003.t000,become,clear mentally ill people alcoholic homeless
d000.s004.t000,cause,homelessness poorly understand complex individual case
d000.s004.t001,understand,cause homelessness poorly complex individual case
d000.s005.t000,quote,research emphasize high prevalance mental illness alcoholism
d000.s005.t001,emphasize,quote research high prevalance mental illness alcoholism
d000.s006.t000,note,homeless people examine multitude physical disorder addition psychiatric problem substance abuse
d000.s006.t001,people,note homeless examine multitude physical disorder addition psychiatric problem substance abuse
d000.s006.t002,examine,note homeless people multitude physical disorder addition psychiatric problem substance abuse
d000.s006.t003,have,note homeless people examine multitude physical disorder addition psychiatric problem substance abuse
d000.s006.t004,multitude,note homeless people examine physical disorder addition psychiatric problem substance abuse
d000.s007.t000,suffer,malnutrition chest disease cardiovascular disorder skin problem infectious disease aftereffect assault rape
d000.s008.t000,people,homeless lack safety privacy shelter also lack elementary necessity nutrition cleanliness basic health care
d000.s008.t001,lack,homeless people safety privacy shelter also lack elementary necessity nutrition cleanliness basic health care
d000.s008.t002,shelter,homeless people lack safety privacy also lack elementary necessity nutrition cleanliness basic health care
d000.s008.t003,lack,homeless people safety privacy shelter also lack elementary necessity nutrition cleanliness basic health care
d000.s008.t004,necessity,homeless people lack safety privacy shelter also lack elementary nutrition cleanliness basic health care
d000.s009.t000,point_out,recent report institute medicine certain health problem may predispose person homelessness may consequence third category compose disorder whose treatment difficult impossible person lack adequate shelter
d000.s009.t001,problem,recent report institute medicine point_out certain health may predispose person homelessness may consequence third category compose disorder whose treatment difficult impossible person lack adequate shelter
d000.s009.t002,predispose,recent report institute medicine point_out certain health problem may person homelessness may consequence third category compose disorder whose treatment difficult impossible person lack adequate shelter
d000.s009.t003,person,recent report institute medicine point_out certain health problem may predispose homelessness may consequence third category compose disorder whose treatment difficult impossible person lack adequate shelter
d000.s009.t004,category,recent report institute medicine point_out certain health problem may predispose person homelessness may consequence third compose disorder whose treatment difficult impossible person lack adequate shelter
d000.s009.t005,compose,recent report institute medicine point_out certain health problem may predispose person homelessness may consequence third category disorder whose treatment difficult impossible person lack adequate shelter
d000.s009.t006,lack,recent report institute medicine point_out certain health problem may predispose person homelessness may consequence third category compose disorder whose treatment difficult impossible person adequate shelter
d000.s009.t007,shelter,recent report institute medicine point_out certain health problem may predispose person homelessness may consequence third category compose disorder whose treatment difficult impossible person lack adequate
d000.s010.t000,interaction,health homelessness complex defy sweeping generalization cause effect
d000.s010.t001,defy,interaction health homelessness complex sweeping generalization cause effect
d000.s010.t002,generalization,interaction health homelessness complex defy sweeping cause effect
d000.s011.t000,look_to,future prevent homelessness important objective
d000.s011.t001,prevent,look_to future homelessness important objective
d000.s012.t000,require,develop much sophisticated understanding dynamics homelessness currently possess understanding develop careful study research
d000.s012.t001,develop,require much sophisticated understanding dynamics homelessness currently possess understanding develop careful study research
d000.s012.t002,understanding,require develop much sophisticated dynamics homelessness currently possess understanding develop careful study research
d000.s012.t003,possess,require develop much sophisticated understanding dynamics homelessness currently understanding develop careful study research
d000.s012.t004,develop,require much sophisticated understanding dynamics homelessness currently possess understanding develop careful study research
d000.s014.t000,study,tulane prof. jame wright say homelessness due complex array problem common thread poverty
d000.s014.t001,say,study tulane prof. jame wright homelessness due complex array problem common thread poverty
d000.s015.t000,study,show nearly homeless population make_up woman child homeless exhibit combination drug alcohol mental problem
d000.s015.t001,show,study nearly homeless population make_up woman child homeless exhibit combination drug alcohol mental problem
d000.s015.t002,make_up,study show nearly homeless population woman child homeless exhibit combination drug alcohol mental problem
d000.s015.t003,exhibit,study show nearly homeless population make_up woman child homeless combination drug alcohol mental problem
d000.s015.t004,combination,study show nearly homeless population make_up woman child homeless exhibit drug alcohol mental problem
d000.s016.t000,problem,accord dr. wright homelessness simultaneously housing employment problem demographic problem problem social disaffiliation mental health problem family violence problem problem create cutback social welfare spending problem result decay traditional nuclear family problem intimately connect recent increase number person live poverty level
d000.s016.t001,create,accord dr. wright homelessness simultaneously housing problem employment problem demographic problem problem social disaffiliation mental health problem family violence problem problem cutback social welfare spending problem result decay traditional nuclear family problem intimately connect recent increase number person live poverty level
d000.s016.t002,result,accord dr. wright homelessness simultaneously housing problem employment problem demographic problem problem social disaffiliation mental health problem family violence problem problem create cutback social welfare spending problem decay traditional nuclear family problem intimately connect recent increase number person live poverty level
d000.s016.t003,connect,accord dr. wright homelessness simultaneously housing problem employment problem demographic problem problem social disaffiliation mental health problem family violence problem problem create cutback social welfare spending problem result decay traditional nuclear family problem intimately recent increase number person live poverty level
d000.s016.t004,person,accord dr. wright homelessness simultaneously housing problem employment problem demographic problem problem social disaffiliation mental health problem family violence problem problem create cutback social welfare spending problem result decay traditional nuclear family problem intimately connect recent increase number live poverty level
d000.s016.t005,live,accord dr. wright homelessness simultaneously housing problem employment problem demographic problem problem social disaffiliation mental health problem family violence problem problem create cutback social welfare spending problem result decay traditional nuclear family problem intimately connect recent increase number person poverty level
d000.s018.t000,quote,highly regarded director privately fund drop-in center homeless new york homeless n't sleep fear rob murder
d000.s018.t001,director,quote highly regarded privately fund drop-in center homeless new york homeless n't sleep fear rob murder
d000.s018.t002,center,quote highly regarded director privately fund drop-in homeless new york homeless n't sleep fear rob murder
d000.s018.t003,sleep,quote highly regarded director privately fund drop-in center homeless new york homeless n't fear rob murder
d000.s018.t004,rob,quote highly regarded director privately fund drop-in center homeless new york homeless n't sleep fear murder
d000.s019.t000,fend,first three week sleep deprivation scarcely touch reality without psychiatric treatment may well unable ever
d000.s020.t000,have,homeless obviously pre-existing mental illness addiction
d000.s020.t001,addiction,homeless obviously pre-existing mental illness
d000.s021.t000,fall,many crack economy grim brutal world city street
d000.s024.t000,dismiss,sentimental view reduction federal housing-assistance program might play significant role increase number man woman sleep city street reagan-bush year
d000.s024.t001,view,dismiss sentimental reduction federal housing-assistance program might play significant role increase number man woman sleep city street reagan-bush year
d000.s024.t002,reduction,dismiss sentimental view federal housing-assistance program might play significant role increase number man woman sleep city street reagan-bush year
d000.s024.t003,play,dismiss sentimental view reduction federal housing-assistance program might significant role increase number man woman sleep city street reagan-bush year
d000.s024.t004,role,dismiss sentimental view reduction federal housing-assistance program might play significant increase number man woman sleep city street reagan-bush year
d000.s024.t005,number,dismiss sentimental view reduction federal housing-assistance program might play significant role increase man woman sleep city street reagan-bush year
d000.s024.t006,woman,dismiss sentimental view reduction federal housing-assistance program might play significant role increase number man sleep city street reagan-bush year
d000.s025.t000,bother,sign consider inverse logic namely mental illness substance abuse might degree consequence rather cause homelessness
d000.s025.t001,consider,sign bother inverse logic namely mental illness substance abuse might degree consequence rather cause homelessness
d000.s026.t000,research,stop convenient assertion could make
d000.s026.t001,stop,research convenient assertion could make
d000.s026.t002,assertion,research stop convenient could make
d000.s026.t003,make,research stop convenient assertion could
d000.s028.t000,march,approximately sponsor recent washington homeless choose cite group national association home builder international union bricklayer allied craftsman insinuate march get major support self-serving group know good thing see crusade base greed profit motive
d000.s028.t001,choose,approximately sponsor recent march washington homeless cite group national association home builder international union bricklayer allied craftsman insinuate march get major support self-serving group know good thing see crusade base greed profit motive
d000.s028.t002,cite,approximately sponsor recent march washington homeless choose group national association home builder international union bricklayer allied craftsman insinuate march get major support self-serving group know good thing see crusade base greed profit motive
d000.s028.t003,group,approximately sponsor recent march washington homeless choose cite national association home builder international union bricklayer allied craftsman insinuate march get major support self-serving group know good thing see crusade base greed profit motive
d000.s028.t004,insinuate,approximately sponsor recent march washington homeless choose cite group national association home builder international union bricklayer allied craftsman march get major support self-serving group know good thing see crusade base greed profit motive
d000.s028.t005,get,approximately sponsor recent march washington homeless choose cite group national association home builder international union bricklayer allied craftsman insinuate march major support self-serving group know good thing see crusade base greed profit motive
d000.s028.t006,support,approximately sponsor recent march washington homeless choose cite group national association home builder international union bricklayer allied craftsman insinuate march get major self-serving group know good thing see crusade base greed profit motive
d000.s028.t007,know,approximately sponsor recent march washington homeless choose cite group national association home builder international union bricklayer allied craftsman insinuate march get major support self-serving group good thing see crusade base greed profit motive
d000.s028.t008,thing,approximately sponsor recent march washington homeless choose cite group national association home builder international union bricklayer allied craftsman insinuate march get major support self-serving group know good see crusade base greed profit motive
d000.s028.t009,see,approximately sponsor recent march washington homeless choose cite group national association home builder international union bricklayer allied craftsman insinuate march get major support self-serving group know good thing crusade base greed profit motive
d000.s028.t010,crusade,approximately sponsor recent march washington homeless choose cite group national association home builder international union bricklayer allied craftsman insinuate march get major support self-serving group know good thing see base greed profit motive
d000.s028.t011,base,approximately sponsor recent march washington homeless choose cite group national association home builder international union bricklayer allied craftsman insinuate march get major support self-serving group know good thing see crusade greed profit motive
d000.s029.t000,force,n't desire profit drive behind subscribe advertise paper
d000.s029.t001,subscribe,n't desire profit drive force behind advertise paper
d000.s029.t002,advertise,n't desire profit drive force behind subscribe paper
d000.s030.t000,mention,n't ymca ywca catholic charity usa hundred nonprofit organization participate march
d000.s030.t001,organization,n't mention ymca ywca catholic charity usa hundred nonprofit participate march
d000.s030.t002,participate,n't mention ymca ywca catholic charity usa hundred nonprofit organization march
d000.s031.t000,homeless,finding baltimore undergo psychiatric examination i suggest conduct survey
d000.s031.t001,undergo,finding baltimore homeless psychiatric examination i suggest conduct survey
d000.s031.t002,examination,finding baltimore homeless undergo psychiatric i suggest conduct survey
d000.s031.t003,suggest,finding baltimore homeless undergo psychiatric examination i conduct survey
d000.s031.t004,conduct,finding baltimore homeless undergo psychiatric examination i suggest survey
d000.s031.t005,survey,finding baltimore homeless undergo psychiatric examination i suggest conduct
d000.s032.t000,choose,business executive include perhaps someone staff put street deprive one month home family income
d000.s032.t001,executive,choose business include perhaps someone staff put street deprive one month home family income
d000.s032.t002,include,choose business executive perhaps someone staff put street deprive one month home family income
d000.s032.t003,put,choose business executive include perhaps someone staff street deprive one month home family income
d000.s032.t004,deprive,choose business executive include perhaps someone staff put street one month home family income
d000.s033.t000,predict,i would within short time would find thunderbird satisfactory substitute chiva regal normal phobia anxiety depression substance abuse would increase dramatically
d000.s033.t001,find,i would predict within short time would thunderbird satisfactory substitute chiva regal normal phobia anxiety depression substance abuse would increase dramatically
d000.s033.t002,increase,i would predict within short time would find thunderbird satisfactory substitute chiva regal normal phobia anxiety depression substance abuse would dramatically
d001.s000.t000,account,feeding frenzy henry holt page 19.95 highly detailed wedtech scandal begin reassuring note
d001.s000.t001,begin,feeding frenzy henry holt page 19.95 highly detailed account wedtech scandal reassuring note
d001.s001.t000,give,right front preface co-author william sternberg example integrity
d001.s001.t001,example,right front preface co-author william sternberg give integrity
d001.s002.t000,offer,free trip bronx wedtech home washington d.c. one wedtech principal tell reader mindful accept anything value i write_about i decline
d001.s002.t001,trip,offer free bronx wedtech home washington d.c. one wedtech principal tell reader mindful accept anything value i write_about i decline
d001.s002.t002,tell,offer free trip bronx wedtech home washington d.c. one wedtech principal reader mindful accept anything value i write_about i decline
d001.s002.t003,reader,offer free trip bronx wedtech home washington d.c. one wedtech principal tell mindful accept anything value i write_about i decline
d001.s002.t004,accept,offer free trip bronx wedtech home washington d.c. one wedtech principal tell reader mindful anything value i write_about i decline
d001.s002.t005,write_about,offer free trip bronx wedtech home washington d.c. one wedtech principal tell reader mindful accept anything value i i decline
d001.s002.t006,decline,offer free trip bronx wedtech home washington d.c. one wedtech principal tell reader mindful accept anything value i write_about i
d001.s003.t000,question,author would believe plaintive high-minded note assurance necessary answer read book sticky finger sweaty scammer
d001.s003.t001,author,question would believe plaintive high-minded note assurance necessary answer read book sticky finger sweaty scammer
d001.s003.t002,believe,question author would plaintive high-minded note assurance necessary answer read book sticky finger sweaty scammer
d001.s003.t003,answer,question author would believe plaintive high-minded note assurance necessary read book sticky finger sweaty scammer
d001.s003.t004,read,question author would believe plaintive high-minded note assurance necessary answer book sticky finger sweaty scammer
d001.s003.t005,book,question author would believe plaintive high-minded note assurance necessary answer read sticky finger sweaty scammer
d001.s004.t000,lead,bribe bribe mr. sternberg co-author matthew c. harrison jr. along path wedtech travel inception small manufacturing company status full-fledged defense contractor entrust task produce vital equipment army navy
d001.s004.t001,path,bribe bribe mr. sternberg co-author matthew c. harrison jr. lead along wedtech travel inception small manufacturing company status full-fledged defense contractor entrust task produce vital equipment army navy
d001.s004.t002,travel,bribe bribe mr. sternberg co-author matthew c. harrison jr. lead along path wedtech inception small manufacturing company status full-fledged defense contractor entrust task produce vital equipment army navy
d001.s004.t003,company,bribe bribe mr. sternberg co-author matthew c. harrison jr. lead along path wedtech travel inception small manufacturing status full-fledged defense contractor entrust task produce vital equipment army navy
d001.s004.t004,contractor,bribe bribe mr. sternberg co-author matthew c. harrison jr. lead along path wedtech travel inception small manufacturing company status full-fledged defense entrust task produce vital equipment army navy
d001.s004.t005,entrust,bribe bribe mr. sternberg co-author matthew c. harrison jr. lead along path wedtech travel inception small manufacturing company status full-fledged defense contractor task produce vital equipment army navy
d001.s004.t006,produce,bribe bribe mr. sternberg co-author matthew c. harrison jr. lead along path wedtech travel inception small manufacturing company status full-fledged defense contractor entrust task vital equipment army navy
d001.s005.t000,book,revolve_around john mariotta founder company fred neuberger become partner soon wedtech creation
d001.s005.t001,revolve_around,book john mariotta founder company fred neuberger become partner soon wedtech creation
d001.s005.t002,become,book revolve_around john mariotta founder company fred neuberger partner soon wedtech creation
d001.s005.t003,partner,book revolve_around john mariotta founder company fred neuberger become soon wedtech creation
d001.s006.t000,start,although wedtech n't really get roll mr. neuberger discover federal government section minority business programme
d001.s006.t001,get,although start wedtech n't really roll mr. neuberger discover federal government section minority business programme
d001.s006.t002,roll,although start wedtech n't really get mr. neuberger discover federal government section minority business programme
d001.s006.t003,discover,although start wedtech n't really get roll mr. neuberger federal government section minority business programme
d001.s006.t004,programme,although start wedtech n't really get roll mr. neuberger discover federal government section minority business
d001.s007.t000,creation,johnson-era great society mandate certain government contract award noncompetitively minority business
d001.s007.t001,mandate,johnson-era great society creation certain government contract award noncompetitively minority business
d001.s007.t002,contract,johnson-era great society creation mandate certain government award noncompetitively minority business
d001.s007.t003,award,johnson-era great society creation mandate certain government contract noncompetitively minority business
d001.s008.t000,realize,mr. neuberger although italian ancestry mr. mariotta still could qualify minority person since bear puerto rico
d001.s008.t001,qualify,mr. neuberger realize although italian ancestry mr. mariotta still could minority person since bear puerto rico
d001.s009.t000,partner,two merely falsify true ownership corporation
d001.s009.t001,have,two partner merely falsify true ownership corporation
d001.s009.t002,falsify,two partner merely true ownership corporation
d001.s009.t003,ownership,two partner merely falsify true corporation
d001.s010.t000,become,instead 50/50 paper two-thirds mariotta one-third neuberger program race
d001.s011.t000,locate,besides minority-owned company wedtech south bronx blighted area make famous jimmy carter presidential campaign
d001.s011.t001,area,besides minority-owned company wedtech locate south bronx blighted make famous jimmy carter presidential campaign
d001.s011.t002,make,besides minority-owned company wedtech locate south bronx blighted area famous jimmy carter presidential campaign
d001.s012.t000,company,plug right carter campaign rhetoric rebuild south bronx keep use minority -- south bronx angle reagan '80
d001.s012.t001,rebuild,company plug right carter campaign rhetoric south bronx keep use minority -- south bronx angle reagan '80
d001.s012.t002,keep,company plug right carter campaign rhetoric rebuild south bronx use minority -- south bronx angle reagan '80
d001.s012.t003,use,company plug right carter campaign rhetoric rebuild south bronx keep minority -- south bronx angle reagan '80
d001.s012.t004,angle,company plug right carter campaign rhetoric rebuild south bronx keep use minority -- south bronx reagan '80
d001.s013.t000,start,congressman mario biaggus serve jail sentence company begin career bribe federal state local public official close public official right include e. robert wallach close friend adviser former attorney general ed meese
d001.s013.t001,serve,start congressman mario biaggus jail sentence company begin career bribe federal state local public official close public official right include e. robert wallach close friend adviser former attorney general ed meese
d001.s013.t002,sentence,start congressman mario biaggus serve jail company begin career bribe federal state local public official close public official right include e. robert wallach close friend adviser former attorney general ed meese
d001.s013.t003,company,start congressman mario biaggus serve jail sentence begin career bribe federal state local public official close public official right include e. robert wallach close friend adviser former attorney general ed meese
d001.s013.t004,begin,start congressman mario biaggus serve jail sentence company career bribe federal state local public official close public official right include e. robert wallach close friend adviser former attorney general ed meese
d001.s013.t005,career,start congressman mario biaggus serve jail sentence company begin bribe federal state local public official close public official right include e. robert wallach close friend adviser former attorney general ed meese
d001.s013.t006,bribe,start congressman mario biaggus serve jail sentence company begin career federal state local public official close public official right include e. robert wallach close friend adviser former attorney general ed meese
d001.s013.t007,official,start congressman mario biaggus serve jail sentence company begin career bribe federal state local public close public official right include e. robert wallach close friend adviser former attorney general ed meese
d001.s013.t008,include,start congressman mario biaggus serve jail sentence company begin career bribe federal state local public official close public official right e. robert wallach close friend adviser former attorney general ed meese
d001.s014.t000,use,wedtech n't old fashion bribery
d001.s015.t000,make,ample use modern technique influence peddling retain politically connect respectable law firm investment banker political consultant include reagan confidant lyn nofzinger
d001.s015.t001,use,make ample modern technique influence peddling retain politically connect respectable law firm investment banker political consultant include reagan confidant lyn nofzinger
d001.s015.t002,retain,make ample use modern technique influence peddling politically connect respectable law firm investment banker political consultant include reagan confidant lyn nofzinger
d001.s015.t003,include,make ample use modern technique influence peddling retain politically connect respectable law firm investment banker political consultant reagan confidant lyn nofzinger
d001.s016.t000,seek,necessary receive assistance organize crime
d001.s016.t001,receive,necessary seek assistance organize crime
d001.s016.t002,assistance,necessary seek receive organize crime
d001.s017.t000,become,sometimes bribe partner company
d001.s017.t001,partner,sometimes bribe become company
d001.s018.t000,management,wedtech use merit system
d001.s018.t001,use,wedtech management merit system
d001.s018.t002,system,wedtech management use merit
d001.s019.t000,receive,especially helpful corrupt scheme cash bag equity
d001.s019.t001,equity,especially helpful corrupt scheme receive cash bag
d001.s020.t000,find,effective crook cold fate eventually befall mr. mariotta firm semiliterate minority person
d001.s020.t001,fate,effective crook find cold eventually befall mr. mariotta firm semiliterate minority person
d001.s020.t002,befall,effective crook find cold fate eventually mr. mariotta firm semiliterate minority person
d001.s020.t003,person,effective crook find cold fate eventually befall mr. mariotta firm semiliterate minority
d001.s021.t000,fall_short,despite sensational nature revelation breezy easy-to-read tabloid writing style feeding frenzy often grip reading
d001.s022.t000,show,none scam much ingenuity auditor find crookery first day job
d001.s022.t001,ingenuity,none scam show much auditor find crookery first day job
d001.s022.t002,find,none scam show much ingenuity auditor crookery first day job
d001.s023.t000,bribe,wedtech scammer simply shut_up
d001.s023.t001,shut_up,wedtech scammer simply bribe
d001.s024.t000,want,scammer garden-variety low life conspicuous consumer big house mercedes car beautiful woman expensive clothes
d001.s024.t001,clothes,scammer garden-variety low life conspicuous consumer want big house mercedes car beautiful woman expensive
d001.s025.t000,wrestle,among lot one good evil especially intelligent even temporarily insane
d001.s026.t000,change,one character least somewhat interesting irving loui lobsenz pediatrician name rusty kent london become master gambler author book blackjack
