id,target_word,context_string
d001.s026.t001,name,one character least somewhat interesting irving loui lobsenz pediatrician change rusty kent london become master gambler author book blackjack
d001.s026.t002,become,one character least somewhat interesting irving loui lobsenz pediatrician change name rusty kent london master gambler author book blackjack
d001.s026.t003,author,one character least somewhat interesting irving loui lobsenz pediatrician change name rusty kent london become master gambler book blackjack
d001.s027.t000,enter,story toward end time get arrest
d001.s027.t001,get,enter story toward end time arrest
d001.s027.t002,arrest,enter story toward end time get
d001.s028.t000,absorb,dole feeding frenzy tidbit author gloss_over root cause wedtech namely section federal program whose auspices scandal take_place
d001.s028.t001,author,absorb dole feeding frenzy tidbit gloss_over root cause wedtech namely section federal program whose auspices scandal take_place
d001.s028.t002,gloss_over,absorb dole feeding frenzy tidbit author root cause wedtech namely section federal program whose auspices scandal take_place
d001.s028.t003,program,absorb dole feeding frenzy tidbit author gloss_over root cause wedtech namely section federal whose auspices scandal take_place
d001.s028.t004,scandal,absorb dole feeding frenzy tidbit author gloss_over root cause wedtech namely section federal program whose auspices take_place
d001.s028.t005,take_place,absorb dole feeding frenzy tidbit author gloss_over root cause wedtech namely section federal program whose auspices scandal
d001.s029.t000,come_around,least say court might want end rigid affirmative action program
d001.s029.t001,say,least come_around court might want end rigid affirmative action program
d001.s029.t002,court,least come_around say might want end rigid affirmative action program
d001.s029.t003,want,least come_around say court might end rigid affirmative action program
d001.s029.t004,end,least come_around say court might want rigid affirmative action program
d001.s029.t005,program,least come_around say court might want end rigid affirmative action
d001.s030.t000,leave,program like section little like gold street express surprise thief walk scoop
d001.s030.t001,gold,program like section little like leave street express surprise thief walk scoop
d001.s030.t002,express,program like section little like leave gold street surprise thief walk scoop
d001.s030.t003,surprise,program like section little like leave gold street express thief walk scoop
d001.s030.t004,walk,program like section little like leave gold street express surprise thief scoop
d001.s030.t005,scoop,program like section little like leave gold street express surprise thief walk
d001.s031.t000,one,numerous scandal among hud characteristic wedtech
d001.s031.t001,have,numerous scandal among one hud characteristic wedtech
d001.s031.t002,characteristic,numerous scandal among one hud wedtech
d001.s032.t000,take_place,government program seem tailor-made corruption
d001.s032.t001,program,take_place government seem tailor-made corruption
d001.s032.t002,seem,take_place government program tailor-made corruption
d001.s033.t000,program,like eliminate
d001.s033.t001,eliminate,program like
d001.s034.t000,provide,feeding frenzy clue
d001.s034.t001,clue,feeding frenzy provide
d001.s035.t000,group,around level government u.s. people best describe belong political insider commercial party
d001.s035.t001,people,around level government u.s. group best describe belong political insider commercial party
d001.s035.t002,describe,around level government u.s. group people best belong political insider commercial party
d001.s035.t003,belong,around level government u.s. group people best describe political insider commercial party
d001.s036.t000,know,whenever government redistribute wealth regulate commerce maintain large defense establishment big money make influence broker sell process decision government
d001.s036.t001,government,know whenever redistribute wealth regulate commerce maintain large defense establishment big money make influence broker sell process decision government
d001.s036.t002,redistribute,know whenever government wealth regulate commerce maintain large defense establishment big money make influence broker sell process decision government
d001.s036.t003,wealth,know whenever government redistribute regulate commerce maintain large defense establishment big money make influence broker sell process decision government
d001.s036.t004,regulate,know whenever government redistribute wealth commerce maintain large defense establishment big money make influence broker sell process decision government
d001.s036.t005,commerce,know whenever government redistribute wealth regulate maintain large defense establishment big money make influence broker sell process decision government
d001.s036.t006,maintain,know whenever government redistribute wealth regulate commerce large defense establishment big money make influence broker sell process decision government
d001.s036.t007,establishment,know whenever government redistribute wealth regulate commerce maintain large defense big money make influence broker sell process decision government
d001.s036.t008,money,know whenever government redistribute wealth regulate commerce maintain large defense establishment big make influence broker sell process decision government
d001.s036.t009,make,know whenever government redistribute wealth regulate commerce maintain large defense establishment big money influence broker sell process decision government
d001.s036.t010,influence,know whenever government redistribute wealth regulate commerce maintain large defense establishment big money make broker sell process decision government
d001.s036.t011,broker,know whenever government redistribute wealth regulate commerce maintain large defense establishment big money make influence sell process decision government
d001.s036.t012,decision,know whenever government redistribute wealth regulate commerce maintain large defense establishment big money make influence broker sell process government
d001.s037.t000,have,version east bloc nomenklatura absolutely wish see anything change
d001.s037.t001,wish,version east bloc nomenklatura absolutely see anything change
d001.s037.t002,see,version east bloc nomenklatura absolutely wish anything change
d001.s037.t003,change,version east bloc nomenklatura absolutely wish see anything
d001.s038.t000,exist,many government program policy line pocket political insider
d001.s038.t001,line,many government program policy exist pocket political insider
d001.s038.t002,pocket,many government program policy exist line political insider
d001.s039.t000,issue,real raise wedtech scandal
d001.s039.t001,raise,real issue wedtech scandal
d002.s000.t000,reach,i back french monsieur avec clipboard lean shoulder coffee phase dinner ask whether i want ride montgolfiere
d002.s000.t001,lean,i reach back french monsieur avec clipboard shoulder coffee phase dinner ask whether i want ride montgolfiere
d002.s000.t002,ask,i reach back french monsieur avec clipboard lean shoulder coffee phase dinner whether i want ride montgolfiere
d002.s000.t003,want,i reach back french monsieur avec clipboard lean shoulder coffee phase dinner ask whether i ride montgolfiere
d002.s000.t004,ride,i reach back french monsieur avec clipboard lean shoulder coffee phase dinner ask whether i want montgolfiere
d002.s001.t000,read,i last-minute interlope attendee french journalism convention far festivity take_up entirely eating drinking smoking sleeping drinking
d002.s001.t001,take_up,i last-minute read interlope attendee french journalism convention far festivity entirely eating drinking smoking sleeping drinking
d002.s002.t000,man,clipboard represent halfhearted attempt introduce bit les sportif itinerary
d002.s002.t001,represent,man clipboard halfhearted attempt introduce bit les sportif itinerary
d002.s002.t002,attempt,man clipboard represent halfhearted introduce bit les sportif itinerary
d002.s002.t003,introduce,man clipboard represent halfhearted attempt bit les sportif itinerary
d002.s002.t004,bit,man clipboard represent halfhearted attempt introduce les sportif itinerary
d002.s003.t000,embody,french zen-like state blase come_to athletics try find nautilus machine pari fellow conventioner none
d002.s003.t001,state,french embody zen-like blase come_to athletics try find nautilus machine pari fellow conventioner none
d002.s003.t002,come_to,french embody zen-like state blase athletics try find nautilus machine pari fellow conventioner none
d002.s003.t003,try,french embody zen-like state blase come_to athletics find nautilus machine pari fellow conventioner none
d002.s003.t004,find,french embody zen-like state blase come_to athletics try nautilus machine pari fellow conventioner none
d002.s003.t005,machine,french embody zen-like state blase come_to athletics try find nautilus pari fellow conventioner none
d002.s003.t006,have,french embody zen-like state blase come_to athletics try find nautilus machine pari fellow conventioner none
d002.s004.t000,diner,table simply light gauloise scoff suggestion interrupt perfectly good saturday morning go golfing even montgolfing ballooning brother montgolfier french course world first hot-air balloonist
d002.s004.t001,light,diner table simply gauloise scoff suggestion interrupt perfectly good saturday morning go golfing even montgolfing ballooning brother montgolfier french course world first hot-air balloonist
d002.s004.t002,scoff,diner table simply light gauloise suggestion interrupt perfectly good saturday morning go golfing even montgolfing ballooning brother montgolfier french course world first hot-air balloonist
d002.s004.t003,interrupt,diner table simply light gauloise scoff suggestion perfectly good saturday morning go golfing even montgolfing ballooning brother montgolfier french course world first hot-air balloonist
d002.s004.t004,morning,diner table simply light gauloise scoff suggestion interrupt perfectly good saturday go golfing even montgolfing ballooning brother montgolfier french course world first hot-air balloonist
d002.s005.t000,win,back u.s.a. kind chi-chi airborne activity heartwarmingly covetous response
d002.s005.t001,response,back u.s.a. kind chi-chi airborne activity win heartwarmingly covetous
d002.s006.t000,balloon,go
d002.s008.t000,seem,american follow malcolm forbe hot-air lead take_to ballooning heady way
d002.s008.t001,follow,american seem malcolm forbe hot-air lead take_to ballooning heady way
d002.s008.t002,lead,american seem follow malcolm forbe hot-air take_to ballooning heady way
d002.s008.t003,take_to,american seem follow malcolm forbe hot-air lead ballooning heady way
d002.s009.t000,number,"past year balloonist pass federal aviation authority lighter-than-air test swell couple hundred several thousand estimate run high 10,000"
d002.s009.t001,pass,"past year number balloonist federal aviation authority lighter-than-air test swell couple hundred several thousand estimate run high 10,000"
d002.s009.t002,test,"past year number balloonist pass federal aviation authority lighter-than-air swell couple hundred several thousand estimate run high 10,000"
d002.s009.t003,swell,"past year number balloonist pass federal aviation authority lighter-than-air test couple hundred several thousand estimate run high 10,000"
d002.s009.t004,estimate,"past year number balloonist pass federal aviation authority lighter-than-air test swell couple hundred several thousand run high 10,000"
d002.s009.t005,run,"past year number balloonist pass federal aviation authority lighter-than-air test swell couple hundred several thousand estimate high 10,000"
d002.s010.t000,hold,"balloon show annually u.s. include world largest convocation ersatz phinea fogg -- nine-day albuquerque international balloon fiesta attract 800,000 enthusiast balloon fetchingly shape resemble carman miranda garfield 12-story-high condom"
d002.s010.t001,include,"balloon show hold annually u.s. world largest convocation ersatz phinea fogg -- nine-day albuquerque international balloon fiesta attract 800,000 enthusiast balloon fetchingly shape resemble carman miranda garfield 12-story-high condom"
d002.s010.t002,attract,"balloon show hold annually u.s. include world largest convocation ersatz phinea fogg -- nine-day albuquerque international balloon fiesta 800,000 enthusiast balloon fetchingly shape resemble carman miranda garfield 12-story-high condom"
d002.s010.t003,balloon,"show hold annually u.s. include world largest convocation ersatz phinea fogg -- nine-day albuquerque international balloon fiesta attract 800,000 enthusiast balloon fetchingly shape resemble carman miranda garfield 12-story-high condom"
d002.s010.t004,shape,"balloon show hold annually u.s. include world largest convocation ersatz phinea fogg -- nine-day albuquerque international balloon fiesta attract 800,000 enthusiast balloon fetchingly resemble carman miranda garfield 12-story-high condom"
d002.s010.t005,resemble,"balloon show hold annually u.s. include world largest convocation ersatz phinea fogg -- nine-day albuquerque international balloon fiesta attract 800,000 enthusiast balloon fetchingly shape carman miranda garfield 12-story-high condom"
d002.s011.t000,balloon,condom deny official entry status year
d002.s011.t001,deny,condom balloon official entry status year
d002.s011.t002,status,condom balloon deny official entry year
d002.s013.t000,hold,ballooning de rigueur hour a.m. attraction people sunrise root-canal work
d002.s013.t001,attraction,ballooning de rigueur hour a.m. hold people sunrise root-canal work
d002.s014.t000,feel,nagging culture imperative i promptly sign_up
d002.s014.t001,sign_up,feel nagging culture imperative i promptly
d002.s015.t000,thing,first anybody tell ballooning require zip way athletic prowess even measure derring-do
d002.s015.t001,tell,first thing anybody ballooning require zip way athletic prowess even measure derring-do
d002.s015.t002,require,first thing anybody tell ballooning zip way athletic prowess even measure derring-do
d002.s015.t003,zip,first thing anybody tell ballooning require way athletic prowess even measure derring-do
d002.s016.t000,look,long n't
d002.s017.t000,tell,also even hate height still balloon
d002.s017.t001,hate,also tell even height still balloon
d002.s017.t002,balloon,also tell even hate height still
d002.s018.t000,say,i still n't look
d002.s018.t001,look,i still say n't
d002.s019.t000,ascend,least
d002.s020.t000,tell,wo n't go aloft anything n't want get wet
d002.s020.t001,go,wo n't tell aloft anything n't want get wet
d002.s020.t002,want,wo n't tell go aloft anything n't get wet
d002.s020.t003,get,wo n't tell go aloft anything n't want wet
d002.s021.t000,refer,i traditional champagne drenching back-on-terra-firma toast
d002.s022.t000,talk,i landing canal
d002.s024.t000,pilot,speak english
d002.s024.t001,speak,pilot english
d002.s025.t000,refer,wit maiden voyage novitiate virgin begin dawn dew-sodden fairway end noon soggy field
d002.s025.t001,begin,wit maiden voyage novitiate refer virgin dawn dew-sodden fairway end noon soggy field
d002.s025.t002,end,wit maiden voyage novitiate refer virgin begin dawn dew-sodden fairway noon soggy field
d002.s026.t000,flight,balloon almost always occur dawn dusk wind lightest
d002.s026.t001,occur,balloon flight almost always dawn dusk wind lightest
d002.s027.t000,come,lot coffee drinking watch balloon inflate lot stand around decide would fly balloon order basket hold four passenger
d002.s027.t001,lot,come coffee drinking watch balloon inflate lot stand around decide would fly balloon order basket hold four passenger
d002.s027.t002,watch,come lot coffee drinking balloon inflate lot stand around decide would fly balloon order basket hold four passenger
d002.s027.t003,balloon,come lot coffee drinking watch inflate lot stand around decide would fly balloon order basket hold four passenger
d002.s027.t004,inflate,come lot coffee drinking watch balloon lot stand around decide would fly balloon order basket hold four passenger
d002.s027.t005,stand,come lot coffee drinking watch balloon inflate lot around decide would fly balloon order basket hold four passenger
d002.s027.t006,decide,come lot coffee drinking watch balloon inflate lot stand around would fly balloon order basket hold four passenger
d002.s027.t007,fly,come lot coffee drinking watch balloon inflate lot stand around decide would balloon order basket hold four passenger
d002.s027.t008,basket,come lot coffee drinking watch balloon inflate lot stand around decide would fly balloon order hold four passenger
d002.s027.t009,hold,come lot coffee drinking watch balloon inflate lot stand around decide would fly balloon order basket four passenger
d002.s028.t000,follow,n't turn balloon i progress chase car listen driver holler walkie-talkie
d002.s028.t001,progress,n't turn balloon i follow chase car listen driver holler walkie-talkie
d002.s028.t002,listen,n't turn balloon i follow progress chase car driver holler walkie-talkie
d002.s028.t003,driver,n't turn balloon i follow progress chase car listen holler walkie-talkie
d002.s028.t004,holler,n't turn balloon i follow progress chase car listen driver walkie-talkie
d002.s029.t000,come,long stretch attendant ground activity lovely minute drift vosge watch silver mist rise river french cow amble field
d002.s029.t001,minute,long stretch attendant ground activity come lovely drift vosge watch silver mist rise river french cow amble field
d002.s029.t002,drift,long stretch attendant ground activity come lovely minute vosge watch silver mist rise river french cow amble field
d002.s029.t003,watch,long stretch attendant ground activity come lovely minute drift vosge silver mist rise river french cow amble field
d002.s029.t004,rise,long stretch attendant ground activity come lovely minute drift vosge watch silver mist river french cow amble field
d002.s029.t005,cow,long stretch attendant ground activity come lovely minute drift vosge watch silver mist rise river french amble field
d002.s029.t006,amble,long stretch attendant ground activity come lovely minute drift vosge watch silver mist rise river french cow field
d002.s030.t000,feel,hard god heaven kind bird's-eye view world even pilote silly plaid beret keep point_out belle
d002.s030.t001,keep,hard feel god heaven kind bird's-eye view world even pilote silly plaid beret point_out belle
d002.s030.t002,point_out,hard feel god heaven kind bird's-eye view world even pilote silly plaid beret keep belle
d002.s031.t000,come,eventually little french farmer little french farmwife stone house put hand tiny eye squint
d002.s031.t001,put,eventually little french farmer little french farmwife come stone house hand tiny eye squint
d002.s031.t002,hand,eventually little french farmer little french farmwife come stone house put tiny eye squint
d002.s031.t003,squint,eventually little french farmer little french farmwife come stone house put hand tiny eye
d002.s033.t000,come,straight canal
d002.s034.t000,see,rule thumb ballooning ca n't steer
d002.s034.t001,steer,see rule thumb ballooning ca n't
d002.s036.t000,go,heat balloon air propane burner make top head feel hot ride air current
d002.s036.t001,heat,go balloon air propane burner make top head feel hot ride air current
d002.s036.t002,air,go heat balloon propane burner make top head feel hot ride air current
d002.s036.t003,burner,go heat balloon air propane make top head feel hot ride air current
d002.s036.t004,make,go heat balloon air propane burner top head feel hot ride air current
d002.s036.t005,top,go heat balloon air propane burner make head feel hot ride air current
d002.s036.t006,feel,go heat balloon air propane burner make top head hot ride air current
d002.s036.t007,ride,go heat balloon air propane burner make top head feel hot air current
d002.s036.t008,current,go heat balloon air propane burner make top head feel hot ride air
d002.s037.t000,make,chase car necessary
d002.s037.t001,car,make chase necessary
d002.s038.t000,go,"balloonist seldom higher 2,000 foot average leisurely 5-10 mile hour"
d002.s038.t001,average,"balloonist seldom go higher 2,000 foot leisurely 5-10 mile hour"
d002.s038.t002,hour,"balloonist seldom go higher 2,000 foot average leisurely 5-10 mile"
d002.s039.t000,balloon,cruise along steady altitude little sense motion
d002.s039.t001,cruise,balloon along steady altitude little sense motion
d002.s040.t000,ascend,one -- case descend tad trop rapidement -- one feel well airborne picnic basket
d002.s040.t001,descend,one ascend -- case tad trop rapidement -- one feel well airborne picnic basket
d002.s041.t000,do,hiss companion english-speaking member convention whose knuckle white
d002.s041.t001,hiss,companion english-speaking member convention whose knuckle white
d002.s041.t002,companion,hiss english-speaking member convention whose knuckle white
d002.s042.t000,yell,attention pilot basket plunge canal
d002.s042.t001,pilot,attention yell basket plunge canal
d002.s042.t002,basket,attention yell pilot plunge canal
d002.s042.t003,plunge,attention yell pilot basket canal
d002.s043.t000,yell,bet attention i back leap atop propane tank i wear alligator loafer
d002.s043.t001,leap,bet attention i yell back atop propane tank i wear alligator loafer
d002.s043.t002,wear,bet attention i yell back leap atop propane tank i alligator loafer
d002.s043.t003,loafer,bet attention i yell back leap atop propane tank i wear alligator
d002.s044.t000,pilot,simply laugh fire burner another blast flame lift oh good 12-inch water level
d002.s044.t001,laugh,pilot simply fire burner another blast flame lift oh good 12-inch water level
d002.s044.t002,burner,pilot simply laugh fire another blast flame lift oh good 12-inch water level
d002.s044.t003,lift,pilot simply laugh fire burner another blast flame oh good 12-inch water level
d002.s045.t000,scuttle,along foot plunge drink
d002.s045.t001,plunge,scuttle along foot drink
d002.s046.t000,come,eventually rest soggy patch field exquisite pleasure scramble basket mud french half ballooning tag team scramble
d002.s046.t001,rest,eventually come soggy patch field exquisite pleasure scramble basket mud french half ballooning tag team scramble
d002.s046.t002,have,eventually come rest soggy patch field exquisite pleasure scramble basket mud french half ballooning tag team scramble
d002.s046.t003,pleasure,eventually come rest soggy patch field exquisite scramble basket mud french half ballooning tag team scramble
d002.s046.t004,scramble,eventually come rest soggy patch field exquisite pleasure basket mud french half ballooning tag team scramble
d002.s046.t005,half,eventually come rest soggy patch field exquisite pleasure scramble basket mud french ballooning tag team scramble
d002.s046.t006,scramble,eventually come rest soggy patch field exquisite pleasure basket mud french half ballooning tag team scramble
d002.s047.t000,look,i watch
d002.s049.t000,drive,back chase car around get get_stuck ditch enlist aid local farmer get_out trailer hitch pull_out ditch
d002.s049.t001,get,back chase car drive around get_stuck ditch enlist aid local farmer get_out trailer hitch pull_out ditch
d002.s049.t002,get_stuck,back chase car drive around get ditch enlist aid local farmer get_out trailer hitch pull_out ditch
d002.s049.t003,enlist,back chase car drive around get get_stuck ditch aid local farmer get_out trailer hitch pull_out ditch
d002.s049.t004,aid,back chase car drive around get get_stuck ditch enlist local farmer get_out trailer hitch pull_out ditch
d002.s049.t005,farmer,back chase car drive around get get_stuck ditch enlist aid local get_out trailer hitch pull_out ditch
d002.s049.t006,get_out,back chase car drive around get get_stuck ditch enlist aid local farmer trailer hitch pull_out ditch
d002.s049.t007,hitch,back chase car drive around get get_stuck ditch enlist aid local farmer get_out trailer pull_out ditch
d002.s049.t008,pull_out,back chase car drive around get get_stuck ditch enlist aid local farmer get_out trailer hitch ditch
d002.s050.t000,rendezvous,finally balloon come rest dirt road amid clutch epinaler watch disassemble craft -- another half-an-hour non-flight activity -- include precision routine yank balloon ground punch air roll_up cram basket trailer
d002.s050.t001,balloon,finally rendezvous come rest dirt road amid clutch epinaler watch disassemble craft -- another half-an-hour non-flight activity -- include precision routine yank balloon ground punch air roll_up cram basket trailer
d002.s050.t002,come,finally rendezvous balloon rest dirt road amid clutch epinaler watch disassemble craft -- another half-an-hour non-flight activity -- include precision routine yank balloon ground punch air roll_up cram basket trailer
d002.s050.t003,rest,finally rendezvous balloon come dirt road amid clutch epinaler watch disassemble craft -- another half-an-hour non-flight activity -- include precision routine yank balloon ground punch air roll_up cram basket trailer
d002.s050.t004,watch,finally rendezvous balloon come rest dirt road amid clutch epinaler disassemble craft -- another half-an-hour non-flight activity -- include precision routine yank balloon ground punch air roll_up cram basket trailer
d002.s050.t005,disassemble,finally rendezvous balloon come rest dirt road amid clutch epinaler watch craft -- another half-an-hour non-flight activity -- include precision routine yank balloon ground punch air roll_up cram basket trailer
d002.s050.t006,craft,finally rendezvous balloon come rest dirt road amid clutch epinaler watch disassemble -- another half-an-hour non-flight activity -- include precision routine yank balloon ground punch air roll_up cram basket trailer
d002.s050.t007,activity,finally rendezvous balloon come rest dirt road amid clutch epinaler watch disassemble craft -- another half-an-hour non-flight -- include precision routine yank balloon ground punch air roll_up cram basket trailer
d002.s050.t008,include,finally rendezvous balloon come rest dirt road amid clutch epinaler watch disassemble craft -- another half-an-hour non-flight activity -- precision routine yank balloon ground punch air roll_up cram basket trailer
d002.s050.t009,routine,finally rendezvous balloon come rest dirt road amid clutch epinaler watch disassemble craft -- another half-an-hour non-flight activity -- include precision yank balloon ground punch air roll_up cram basket trailer
d002.s050.t010,yank,finally rendezvous balloon come rest dirt road amid clutch epinaler watch disassemble craft -- another half-an-hour non-flight activity -- include precision routine balloon ground punch air roll_up cram basket trailer
d002.s050.t011,punch,finally rendezvous balloon come rest dirt road amid clutch epinaler watch disassemble craft -- another half-an-hour non-flight activity -- include precision routine yank balloon ground air roll_up cram basket trailer
d002.s050.t012,air,finally rendezvous balloon come rest dirt road amid clutch epinaler watch disassemble craft -- another half-an-hour non-flight activity -- include precision routine yank balloon ground punch roll_up cram basket trailer
d002.s050.t013,roll_up,finally rendezvous balloon come rest dirt road amid clutch epinaler watch disassemble craft -- another half-an-hour non-flight activity -- include precision routine yank balloon ground punch air cram basket trailer
d002.s050.t014,cram,finally rendezvous balloon come rest dirt road amid clutch epinaler watch disassemble craft -- another half-an-hour non-flight activity -- include precision routine yank balloon ground punch air roll_up basket trailer
d002.s050.t015,basket,finally rendezvous balloon come rest dirt road amid clutch epinaler watch disassemble craft -- another half-an-hour non-flight activity -- include precision routine yank balloon ground punch air roll_up cram trailer
d002.s051.t000,exercise,'d morning follow drive immediately nearest watering hole
d002.s051.t001,have,exercise 'd morning follow drive immediately nearest watering hole
d002.s051.t002,follow,exercise 'd morning drive immediately nearest watering hole
d002.s051.t003,drive,exercise 'd morning follow immediately nearest watering hole
d002.s052.t000,mean,return golf course watch french duffer maul first tee sit cinzano umbrella i nurse espresso ego
d002.s052.t001,return,mean golf course watch french duffer maul first tee sit cinzano umbrella i nurse espresso ego
d002.s052.t002,watch,mean return golf course french duffer maul first tee sit cinzano umbrella i nurse espresso ego
d002.s052.t003,duffer,mean return golf course watch french maul first tee sit cinzano umbrella i nurse espresso ego
d002.s052.t004,maul,mean return golf course watch french duffer first tee sit cinzano umbrella i nurse espresso ego
d002.s052.t005,tee,mean return golf course watch french duffer maul first sit cinzano umbrella i nurse espresso ego
d002.s052.t006,sit,mean return golf course watch french duffer maul first tee cinzano umbrella i nurse espresso ego
d002.s052.t007,ego,mean return golf course watch french duffer maul first tee sit cinzano umbrella i nurse espresso
d002.s054.t000,figure,still i event envy-quotient back u.s.a. near peerless
d002.s055.t000,clamber,ride back camp pilot french-speaking passenger chase car
d002.s056.t000,leave,american companion i ride alfresco wicker basket
d002.s056.t001,ride,american companion i leave alfresco wicker basket
d002.s057.t000,streak,blase gendarme i could n't resist rear soggy loafer salute
d002.s057.t001,resist,streak blase gendarme i could n't rear soggy loafer salute
d002.s057.t002,rear,streak blase gendarme i could n't resist soggy loafer salute
d002.s057.t003,salute,streak blase gendarme i could n't resist rear soggy loafer
